Search the first 100000000 integer powers of ^3 or more for Beal's triples.
Search begins for B^j = 0:0, log10(Bj) = 0
23.9861 log10 of highest power in the list
hardware concurrency: 16
trials, zeros, log10(A^i), log10(B^j), A, i, B, j, C, k, GCD(A B C)
46147530940, 1423, 15.7847, 17.2812, 182624, 3, 575968, 3, 21072, 4, 7024
46150613305, 1424, 16.6774, 17.2812, 14769, 4, 575991, 3, 620298, 3, 14769
46402638174, 1425, 17.0331, 17.2848, 476105, 3, 577570, 3, 23415, 4, 7805
46408047345, 1426, 15.9637, 17.2849, 209520, 3, 20952, 4, 586656, 3, 20952
46485510293, 1427, 16.2295, 17.286, 256932, 3, 578097, 3, 21411, 4, 21411
46548796468, 1428, 17.0531, 17.2869, 273, 7, 578487, 3, 674310, 3, 273
46772266139, 1429, 16.4958, 17.29, 315210, 3, 21014, 4, 609406, 3, 21014
46773848134, 1430, 17.1871, 17.29, 535857, 3, 21014, 4, 703969, 3, 10507
46814012704, 1431, 16.4796, 17.2906, 311311, 3, 21021, 4, 608608, 3, 1001
47274614551, 1432, 17.0767, 17.297, 492310, 3, 21099, 4, 682201, 3, 7033
47418703377, 1433, 17.1622, 17.299, 525696, 3, 296, 7, 700928, 3, 296
47430733652, 1434, 16.6598, 17.2992, 357492, 3, 2883, 5, 625611, 3, 2883
47546426823, 1435, 16.7473, 17.3008, 382313, 3, 584714, 3, 22489, 4, 22489
47683879145, 1436, 16.7429, 17.3027, 381024, 3, 21168, 4, 635040, 3, 21168
47704404533, 1437, 16.9273, 17.303, 76, 9, 2888, 5, 658464, 3, 76
47729949736, 1438, 17.2825, 17.3033, 20923, 4, 585844, 3, 732305, 3, 20923
47736533085, 1439, 12.4493, 17.3035, 14118, 3, 21177, 4, 585897, 3, 7059
47767104549, 1440, 16.7194, 17.3039, 15130, 4, 21182, 4, 3026, 5, 3026
47850088684, 1441, 16.2695, 17.305, 264950, 3, 21196, 4, 604086, 3, 10598
47969907407, 1442, 17.1933, 17.3066, 538384, 3, 587328, 3, 24472, 4, 24472
48011242731, 1443, 15.8431, 17.3072, 191007, 3, 21223, 4, 594244, 3, 21223
48351242887, 1444, 17.174, 17.3118, 19656, 4, 589680, 3, 707616, 3, 19656
48449734466, 1445, 14.9294, 17.3132, 968, 5, 21296, 4, 2904, 5, 968
48505180112, 1446, 17.0232, 17.3139, 472500, 3, 590625, 3, 23625, 4, 23625
48525723638, 1447, 16.362, 17.3142, 284440, 3, 590760, 3, 21880, 4, 21880
49298134115, 1448, 16.0458, 17.3246, 10267, 4, 595486, 3, 605753, 3, 10267
49320119779, 1449, 15.7029, 17.3249, 171520, 3, 21440, 4, 600320, 3, 21440
49538330607, 1450, 16.0058, 17.3278, 216412, 3, 21476, 4, 606284, 3, 1652
50042302736, 1451, 16.4314, 17.3345, 300000, 3, 600000, 3, 3000, 5, 3000
50317614599, 1452, 17.126, 17.3381, 511271, 3, 21603, 4, 705698, 3, 7201
50353832734, 1453, 15.5392, 17.3385, 151263, 3, 147, 8, 605052, 3, 147
50359628876, 1454, 15.7752, 17.3386, 181300, 3, 601916, 3, 21756, 4, 7252
50433881013, 1455, 15.8038, 17.3396, 1448, 5, 602368, 3, 608160, 3, 1448
50557055989, 1456, 16.0486, 17.3412, 223634, 3, 21642, 4, 613190, 3, 7214
50575771008, 1457, 16.4445, 17.3414, 303030, 3, 21645, 4, 627705, 3, 21645
50801915655, 1458, 17.0145, 17.3444, 469345, 3, 604580, 3, 23865, 4, 7955
50959869668, 1459, 16.4907, 17.3464, 313978, 3, 605529, 3, 22427, 4, 22427
51091632010, 1460, 17.256, 17.3481, 564928, 3, 21728, 4, 738752, 3, 21728
51139809185, 1461, 15.346, 17.3487, 130416, 3, 21736, 4, 608608, 3, 21736
51475731132, 1462, 16.8739, 17.353, 421344, 3, 608608, 3, 23408, 4, 23408
51483545017, 1463, 16.9179, 17.3531, 435820, 3, 21791, 4, 675521, 3, 21791
51671093891, 1464, 16.4896, 17.3555, 13256, 4, 609776, 3, 636288, 3, 13256
51702412428, 1465, 16.8489, 17.3559, 2343, 5, 781, 6, 3124, 5, 781
51707306803, 1466, 15.1139, 17.356, 109135, 3, 21827, 4, 611156, 3, 21827
52090112437, 1467, 14.8268, 17.3608, 87552, 3, 21888, 4, 612864, 3, 21888
52323066103, 1468, 14.4542, 17.3638, 65775, 3, 21925, 4, 613900, 3, 21925
52443270673, 1469, 13.927, 17.3653, 43888, 3, 21944, 4, 614432, 3, 21944
52487314772, 1470, 13.0244, 17.3658, 21951, 3, 21951, 4, 614628, 3, 21951
52497999924, 1471, 13.0245, 17.366, 21953, 3, 614684, 3, 21953, 4, 21953
52531542134, 1472, 13.928, 17.3664, 43920, 3, 614880, 3, 21960, 4, 21960
52623344799, 1473, 14.4574, 17.3675, 65937, 3, 615412, 3, 21979, 4, 21979
52797793029, 1474, 14.8344, 17.3697, 88064, 3, 616448, 3, 22016, 4, 22016
53087858065, 1475, 15.1287, 17.3733, 110385, 3, 618156, 3, 22077, 4, 22077
53311603522, 1476, 17.0069, 17.3761, 466610, 3, 619465, 3, 24135, 4, 8045
53351370999, 1477, 16.7238, 17.3765, 375479, 3, 22087, 4, 662610, 3, 22087
53450522829, 1478, 16.7621, 17.3778, 15507, 4, 620280, 3, 666801, 3, 15507
53453508731, 1479, 17.219, 17.3778, 20172, 4, 620289, 3, 25215, 4, 5043
53518721902, 1480, 17.1746, 17.3786, 530712, 3, 22113, 4, 729729, 3, 22113
53522705670, 1481, 15.3716, 17.3787, 133008, 3, 620704, 3, 22168, 4, 22168
53563381934, 1482, 17.0616, 17.3791, 486640, 3, 22120, 4, 707840, 3, 22120
53709611302, 1483, 16.1291, 17.3809, 237886, 3, 22143, 4, 633193, 3, 121
53771153458, 1484, 17.1545, 17.3817, 522606, 3, 622150, 3, 24886, 4, 24886
53841720869, 1485, 16.6167, 17.3826, 345870, 3, 622566, 3, 23058, 4, 23058
54024679885, 1486, 16.3804, 17.3848, 288496, 3, 22192, 4, 643568, 3, 22192
54051366569, 1487, 17.3297, 17.3851, 597793, 3, 623784, 3, 25991, 4, 25991
54093077755, 1488, 17, 17.3856, 10, 17, 3000, 5, 700000, 3, 10
54132300907, 1489, 15.5799, 17.3861, 156065, 3, 624260, 3, 22295, 4, 22295
54146491540, 1490, 14.9358, 17.3863, 95190, 3, 22211, 4, 625081, 3, 3173
54154005018, 1491, 16.9566, 17.3864, 17344, 4, 624384, 3, 693760, 3, 17344
54236687175, 1492, 17.1091, 17.3873, 18935, 4, 624855, 3, 719530, 3, 18935
54366935200, 1493, 16.3617, 17.3889, 284375, 3, 625625, 3, 22750, 4, 11375
54542238370, 1494, 16.1047, 17.3911, 10621, 4, 626639, 3, 637260, 3, 10621
54927151184, 1495, 16.5686, 17.3957, 13872, 4, 628864, 3, 23120, 4, 4624
54931355291, 1496, 16.0928, 17.3957, 10549, 4, 3014, 5, 22605, 4, 1507
54948677793, 1497, 15.7637, 17.3959, 179712, 3, 628992, 3, 22464, 4, 22464
55007897739, 1498, 16.1316, 17.3966, 238336, 3, 22344, 4, 640528, 3, 7448
55728652288, 1499, 17.3236, 17.4052, 595031, 3, 22454, 4, 774663, 3, 11227
56005773258, 1500, 15.9297, 17.4085, 204129, 3, 635068, 3, 22681, 4, 22681
56049082482, 1501, 17.0003, 17.409, 464265, 3, 635310, 3, 24435, 4, 24435
56265198970, 1502, 16.0437, 17.4115, 222789, 3, 636540, 3, 309, 7, 309
56882842441, 1503, 17.2226, 17.4187, 550639, 3, 22629, 4, 754300, 3, 7543
57094903155, 1504, 16.3034, 17.4211, 271932, 3, 22661, 4, 657169, 3, 22661
57231460846, 1505, 16.7409, 17.4227, 380464, 3, 642033, 3, 23779, 4, 23779
57341202581, 1506, 16.0825, 17.4239, 229520, 3, 642656, 3, 22952, 4, 22952
57642801452, 1507, 13.4454, 17.4274, 30324, 3, 22743, 4, 644385, 3, 7581
57890106859, 1508, 17.3906, 17.4302, 22267, 4, 645743, 3, 801612, 3, 22267
58063915705, 1509, 17.2774, 17.4322, 20862, 4, 646722, 3, 771894, 3, 20862
58615221392, 1510, 16.5628, 17.4384, 13826, 4, 649822, 3, 677474, 3, 13826
58729239022, 1511, 16.6921, 17.4396, 366464, 3, 22904, 4, 687120, 3, 22904
58918237535, 1512, 16.9176, 17.4418, 435708, 3, 22932, 4, 710892, 3, 22932
58992458099, 1513, 16.2253, 17.4426, 256113, 3, 651924, 3, 23283, 4, 23283
59032200991, 1514, 16.9947, 17.443, 462280, 3, 652145, 3, 24765, 4, 8255
59777579745, 1515, 15.0481, 17.4513, 103761, 3, 23058, 4, 657153, 3, 11529
59778282385, 1516, 16.2126, 17.4513, 253638, 3, 23058, 4, 668682, 3, 23058
59876567131, 1517, 17.2858, 17.4523, 578006, 3, 656825, 3, 26273, 4, 26273
59946469165, 1518, 15.7501, 17.4531, 177836, 3, 657220, 3, 23196, 4, 7732
60244449555, 1519, 16.1626, 17.4564, 10981, 4, 658860, 3, 669841, 3, 10981
60419466177, 1520, 17.27, 17.4583, 571058, 3, 23151, 4, 779417, 3, 7717
60554293994, 1521, 17.4597, 17.4597, 2, 58, 2, 58, 2, 59, 2
60626887561, 1522, 14.7282, 17.4605, 81172, 3, 660972, 3, 23192, 4, 11596
60627418021, 1523, 17.0308, 17.4605, 271, 7, 813, 6, 734410, 3, 271
60703060492, 1524, 17.3901, 17.4614, 626184, 3, 23192, 4, 811720, 3, 23192
60838911880, 1525, 16.4881, 17.4629, 313362, 3, 23212, 4, 684754, 3, 11606
61003977953, 1526, 16.3607, 17.4646, 284160, 3, 663040, 3, 23680, 4, 23680
61099010311, 1527, 17.4656, 17.4656, 663552, 3, 663552, 3, 27648, 4, 27648
61197311926, 1528, 16.8639, 17.4667, 418132, 3, 664092, 3, 24596, 4, 24596
61356465332, 1529, 17.1266, 17.4684, 511520, 3, 664976, 3, 25576, 4, 25576
61648841939, 1530, 17.4715, 17.4715, 23328, 4, 23328, 4, 839808, 3, 23328
61689291879, 1531, 16.8448, 17.472, 16263, 4, 666783, 3, 715572, 3, 16263
62073784169, 1532, 16.107, 17.476, 233890, 3, 23389, 4, 678281, 3, 23389
62280983494, 1533, 16.99, 17.4782, 460625, 3, 670000, 3, 25125, 4, 8375
62627441239, 1534, 16.6368, 17.4819, 351232, 3, 56, 10, 702464, 3, 56
62695878316, 1535, 16.265, 17.4826, 11648, 4, 672256, 3, 685568, 3, 1664
62905913298, 1536, 17.0802, 17.4848, 493647, 3, 23507, 4, 752224, 3, 23507
63230647019, 1537, 13.7817, 17.4882, 39255, 3, 23553, 4, 675186, 3, 7851
63374899600, 1538, 17.0468, 17.4897, 18268, 4, 675916, 3, 748988, 3, 18268
63422779506, 1539, 16.4905, 17.4902, 313937, 3, 676172, 3, 24149, 4, 24149
63742503172, 1540, 16.6484, 17.4935, 354375, 3, 23625, 4, 708750, 3, 23625
63811909920, 1541, 17.4399, 17.4942, 650574, 3, 678258, 3, 27684, 4, 13842
63993125333, 1542, 15.9848, 17.4961, 212940, 3, 23660, 4, 686140, 3, 23660
64129342072, 1543, 17.3169, 17.4975, 591975, 3, 23679, 4, 805086, 3, 23679
64163509845, 1544, 16.4295, 17.4978, 299568, 3, 316, 7, 698992, 3, 316
64233508929, 1545, 17.2054, 17.4985, 20015, 4, 680510, 3, 780585, 3, 20015
64494023745, 1546, 12.7968, 17.5012, 1582, 4, 3164, 5, 23730, 4, 1582
64783371721, 1547, 17.2133, 17.5041, 546710, 3, 23770, 4, 784410, 3, 23770
64884595524, 1548, 16.2919, 17.5051, 269552, 3, 23784, 4, 697664, 3, 7928
65382359632, 1549, 15.7339, 17.5102, 175648, 3, 686624, 3, 23952, 4, 7984
65556420589, 1550, 15.8432, 17.5119, 191016, 3, 23877, 4, 692433, 3, 23877
65812055537, 1551, 16.9862, 17.5145, 459270, 3, 688905, 3, 25515, 4, 25515
65891237728, 1552, 17.4915, 17.5152, 23598, 4, 689310, 3, 860706, 3, 1242
65920344642, 1553, 15.3791, 17.5155, 133770, 3, 3185, 5, 691145, 3, 3185
66030198207, 1554, 17.4555, 17.5166, 658405, 3, 23942, 4, 849941, 3, 11971
66153800479, 1555, 16.9042, 17.5179, 431262, 3, 23959, 4, 742729, 3, 23959
66304492951, 1556, 16.6163, 17.5194, 588, 6, 691488, 3, 24696, 4, 588
66322232829, 1557, 16.6344, 17.5195, 14408, 4, 691584, 3, 720400, 3, 14408
66431680837, 1558, 16.2195, 17.5206, 11347, 4, 692167, 3, 703514, 3, 11347
66790978320, 1559, 15.6784, 17.5242, 168322, 3, 24046, 4, 697334, 3, 24046
66892646610, 1560, 17.1906, 17.5252, 19845, 4, 694575, 3, 26460, 4, 6615
66935897770, 1561, 17.4169, 17.5256, 639216, 3, 694800, 3, 27792, 4, 27792
67487315690, 1562, 17.2934, 17.531, 581405, 3, 697686, 3, 341, 7, 341
67502230146, 1563, 17.2529, 17.5311, 563577, 3, 697762, 3, 26837, 4, 26837
67728572733, 1564, 15.4844, 17.5333, 145038, 3, 24173, 4, 701017, 3, 24173
68024154028, 1565, 17.3632, 17.5362, 613396, 3, 24213, 4, 831313, 3, 8071
68064774098, 1566, 14.7669, 17.5366, 83616, 3, 3216, 5, 701088, 3, 3216
68343638521, 1567, 16.5928, 17.5393, 339584, 3, 24256, 4, 727680, 3, 24256
68402933202, 1568, 15.2518, 17.5398, 121320, 3, 24264, 4, 703656, 3, 24264
68529113835, 1569, 16.3586, 17.541, 283705, 3, 703095, 3, 24670, 4, 12335
68859010189, 1570, 14.9643, 17.5442, 97300, 3, 24325, 4, 705425, 3, 24325
69136290414, 1571, 14.5915, 17.5469, 73086, 3, 24362, 4, 706498, 3, 24362
69280522319, 1572, 14.0642, 17.5482, 48762, 3, 24381, 4, 707049, 3, 24381
69331908291, 1573, 13.1615, 17.5487, 24388, 3, 24388, 4, 707252, 3, 24388
69344379793, 1574, 13.1616, 17.5488, 24390, 3, 707310, 3, 24390, 4, 24390
69350427036, 1575, 17.3779, 17.5489, 22104, 4, 707328, 3, 839952, 3, 22104
69383691590, 1576, 14.0651, 17.5492, 48794, 3, 707513, 3, 24397, 4, 24397
69404486009, 1577, 17.242, 17.5494, 2808, 5, 707616, 3, 808704, 3, 2808
69491856547, 1578, 14.5944, 17.5502, 73248, 3, 708064, 3, 24416, 4, 24416
69652747580, 1579, 16.9831, 17.5517, 458185, 3, 708890, 3, 25935, 4, 8645
69699914584, 1580, 14.9712, 17.5522, 97812, 3, 709137, 3, 24453, 4, 24453
69704272163, 1581, 16.739, 17.5522, 379905, 3, 709156, 3, 25327, 4, 25327
69788798566, 1582, 17.4955, 17.553, 23653, 4, 709590, 3, 875161, 3, 23653
70046104355, 1583, 15.2652, 17.5554, 122570, 3, 710906, 3, 24514, 4, 24514
70344228357, 1584, 16.3695, 17.5582, 286090, 3, 24522, 4, 727486, 3, 8174
70511630388, 1585, 17.3967, 17.5598, 629370, 3, 713286, 3, 27972, 4, 13986
70562137856, 1586, 15.5075, 17.5603, 147630, 3, 713545, 3, 24605, 4, 24605
70957290768, 1587, 16.9256, 17.5639, 17037, 4, 715554, 3, 766665, 3, 17037
71171361493, 1588, 17.1081, 17.5659, 504298, 3, 716634, 3, 26542, 4, 26542
71287618710, 1589, 15.7151, 17.567, 173124, 3, 717228, 3, 24732, 4, 24732
71734377730, 1590, 17.5198, 17.5711, 691712, 3, 24704, 4, 889344, 3, 24704
72110249473, 1591, 17.409, 17.5745, 635327, 3, 24753, 4, 858104, 3, 8251
72226885871, 1592, 17.0848, 17.5756, 495360, 3, 24768, 4, 792576, 3, 24768
72257361838, 1593, 15.8979, 17.5758, 199208, 3, 722129, 3, 24901, 4, 24901
72494832595, 1594, 16.5253, 17.578, 322439, 3, 24803, 4, 744090, 3, 24803
73076635944, 1595, 16.8788, 17.5833, 422926, 3, 24878, 4, 771218, 3, 24878
73141057468, 1596, 16.2756, 17.5838, 11719, 4, 726578, 3, 738297, 3, 11719
73510283115, 1597, 16.0627, 17.5871, 226062, 3, 728422, 3, 25118, 4, 25118
73694465974, 1598, 16.8597, 17.5888, 416768, 3, 729344, 3, 26048, 4, 26048
73822322391, 1599, 16.9807, 17.5899, 457340, 3, 729985, 3, 26385, 4, 8795
73869126807, 1600, 17.1347, 17.5903, 19216, 4, 730208, 3, 807072, 3, 19216
74596885524, 1601, 17.3791, 17.5968, 620928, 3, 733824, 3, 168, 8, 168
74851129776, 1602, 16.7046, 17.599, 15002, 4, 735098, 3, 765102, 3, 15002
75080634580, 1603, 17.5478, 17.601, 706776, 3, 736225, 3, 29449, 4, 29449
75092827046, 1604, 16.2139, 17.6011, 253890, 3, 736281, 3, 25389, 4, 25389
75719905275, 1605, 17.2992, 17.6066, 21125, 4, 739375, 3, 845000, 3, 21125
75817294584, 1606, 14.3095, 17.6075, 58863, 3, 25227, 4, 739992, 3, 8409
76177764371, 1607, 16.4455, 17.6106, 303264, 3, 25272, 4, 758160, 3, 25272
76314301332, 1608, 17.2361, 17.6117, 556358, 3, 25289, 4, 834537, 3, 25289
76380929603, 1609, 17.1771, 17.6123, 19691, 4, 742632, 3, 824209, 3, 2813
76393623987, 1610, 17.4542, 17.6124, 657774, 3, 25299, 4, 885465, 3, 25299
76593302861, 1611, 16.6947, 17.6141, 367198, 3, 25324, 4, 772382, 3, 12662
76758840758, 1612, 17.25, 17.6156, 562320, 3, 744480, 3, 27720, 4, 3960
77045227656, 1613, 16.355, 17.618, 282920, 3, 745880, 3, 25720, 4, 25720
77367278787, 1614, 17.2297, 17.6207, 553660, 3, 747441, 3, 27683, 4, 27683
77698001905, 1615, 15.6932, 17.6235, 170240, 3, 749056, 3, 25536, 4, 8512
77830087972, 1616, 17.583, 17.6247, 726123, 3, 25478, 4, 929947, 3, 12739
77846106025, 1617, 17.3592, 17.6248, 611520, 3, 25480, 4, 866320, 3, 25480
78056496124, 1618, 15.441, 17.6266, 140283, 3, 25506, 4, 752427, 3, 12753
78349110567, 1619, 16.9789, 17.629, 456705, 3, 752220, 3, 26865, 4, 26865
79240744023, 1620, 17.364, 17.6365, 613782, 3, 756522, 3, 28548, 4, 14274
79382224720, 1621, 16.3524, 17.6376, 282359, 3, 25669, 4, 770070, 3, 25669
79420850658, 1622, 16.4883, 17.638, 313404, 3, 757393, 3, 26117, 4, 26117
79505010930, 1623, 14.423, 17.6387, 64220, 3, 757796, 3, 25688, 4, 12844
79596504529, 1624, 16.8419, 17.6394, 411120, 3, 25695, 4, 796545, 3, 25695
80407060094, 1625, 16.3307, 17.6461, 12097, 4, 762111, 3, 774208, 3, 12097
80880508928, 1626, 17.4989, 17.6499, 680743, 3, 25851, 4, 913402, 3, 8617
81112133503, 1627, 17.384, 17.6518, 22182, 4, 25879, 4, 3697, 5, 3697
81357396120, 1628, 17.0045, 17.6538, 17829, 4, 766647, 3, 820134, 3, 17829
81360671508, 1629, 17.0766, 17.6538, 492271, 3, 25909, 4, 829088, 3, 25909
81639115558, 1630, 16.8742, 17.656, 16541, 4, 767975, 3, 808146, 3, 2363
81842665606, 1631, 17.0349, 17.6577, 476749, 3, 768950, 3, 3549, 5, 1183
82118435573, 1632, 16.2449, 17.6599, 260000, 3, 26000, 4, 780000, 3, 26000
82276668839, 1633, 16.6158, 17.6612, 345618, 3, 770994, 3, 26586, 4, 26586
82401881838, 1634, 16.5199, 17.6622, 321086, 3, 26034, 4, 789698, 3, 8678
82405178211, 1635, 17.4755, 17.6622, 23382, 4, 771606, 3, 911898, 3, 23382
82767975309, 1636, 17.5053, 17.6651, 684089, 3, 773318, 3, 29743, 4, 29743
82880131160, 1637, 14.5274, 17.666, 69576, 3, 26091, 4, 774033, 3, 8697
83260745744, 1638, 16.9776, 17.669, 456250, 3, 775625, 3, 27375, 4, 9125
83661747810, 1639, 17.5974, 17.6721, 25081, 4, 777511, 3, 953078, 3, 25081
83754775247, 1640, 17.0972, 17.6729, 500112, 3, 777952, 3, 27784, 4, 27784
84067460208, 1641, 16.0534, 17.6753, 224450, 3, 335, 7, 785575, 3, 335
84280268253, 1642, 16.7734, 17.677, 15608, 4, 780400, 3, 811616, 3, 15608
84343621456, 1643, 17.6453, 17.6774, 761656, 3, 26264, 4, 971768, 3, 26264
84400326129, 1644, 16.1212, 17.6779, 236439, 3, 26271, 4, 788130, 3, 26271
84462890193, 1645, 17.6784, 17.6784, 781250, 3, 781250, 3, 31250, 4, 31250
84513583991, 1646, 17.3513, 17.6788, 607824, 3, 781488, 3, 28944, 4, 28944
84650303804, 1647, 15.6679, 17.6798, 166972, 3, 782132, 3, 26364, 4, 8788
85577893265, 1648, 17.5432, 17.687, 704240, 3, 26409, 4, 941921, 3, 8803
85638372199, 1649, 16.7939, 17.6875, 396240, 3, 26416, 4, 818896, 3, 26416
85668619754, 1650, 16.7389, 17.6877, 379862, 3, 786857, 3, 27133, 4, 27133
85769483416, 1651, 17.2204, 17.6885, 20188, 4, 787332, 3, 868084, 3, 20188
86257617859, 1652, 15.9784, 17.6922, 211904, 3, 26488, 4, 794640, 3, 26488
86346384432, 1653, 17.6929, 17.6929, 3456, 5, 3456, 5, 995328, 3, 3456
86668942463, 1654, 16.3494, 17.6953, 281715, 3, 791485, 3, 26830, 4, 13415
87590728874, 1655, 16.9577, 17.7023, 17355, 4, 3471, 5, 27768, 4, 3471
87719925461, 1656, 15.8127, 17.7032, 186599, 3, 26657, 4, 799710, 3, 26657
87886660866, 1657, 16.6953, 17.7045, 367380, 3, 26676, 4, 822276, 3, 468
87886686777, 1658, 17.245, 17.7045, 560196, 3, 26676, 4, 880308, 3, 26676
88261541486, 1659, 16.385, 17.7073, 12481, 4, 798784, 3, 811265, 3, 12481
88532548184, 1660, 17.7093, 17.7093, 800000, 3, 800000, 3, 4000, 5, 4000
88578895900, 1661, 16.9767, 17.7096, 455945, 3, 800230, 3, 27915, 4, 9305
88831779019, 1662, 15.6181, 17.7115, 160704, 3, 26784, 4, 803520, 3, 26784
88869432192, 1663, 17.3905, 17.7118, 22265, 4, 801540, 3, 912865, 3, 22265
89040683511, 1664, 16.5928, 17.7131, 339568, 3, 26808, 4, 822112, 3, 8936
89631048883, 1665, 15.385, 17.7174, 134375, 3, 26875, 4, 806250, 3, 26875
89665432709, 1666, 16.8587, 17.7176, 416460, 3, 805156, 3, 27764, 4, 27764
89692944538, 1667, 16.3782, 17.7178, 12432, 4, 805280, 3, 817376, 3, 112
90009633881, 1668, 17.2149, 17.7201, 547409, 3, 806708, 3, 28811, 4, 28811
90033752764, 1669, 17.1605, 17.7203, 525000, 3, 3500, 5, 875000, 3, 3500
90171420244, 1670, 15.0972, 17.7213, 107744, 3, 26936, 4, 808080, 3, 26936
90171636426, 1671, 17.0568, 17.7213, 484848, 3, 26936, 4, 861952, 3, 26936
90478804576, 1672, 17.3408, 17.7236, 602946, 3, 808830, 3, 29412, 4, 14706
90485281446, 1673, 16.8077, 17.7236, 400465, 3, 808860, 3, 27755, 4, 3965
90498883629, 1674, 14.7242, 17.7237, 80919, 3, 26973, 4, 809190, 3, 26973
90499531657, 1675, 17.5869, 17.7237, 728271, 3, 26973, 4, 971028, 3, 26973
90667376569, 1676, 14.1968, 17.7249, 53984, 3, 26992, 4, 809760, 3, 26992
90729845334, 1677, 13.294, 17.7254, 26999, 3, 26999, 4, 809970, 3, 26999
90743898374, 1678, 13.2941, 17.7255, 27001, 3, 810030, 3, 27001, 4, 27001
90792336128, 1679, 14.1976, 17.7258, 54016, 3, 810240, 3, 27008, 4, 27008
90917382403, 1680, 14.7268, 17.7268, 81081, 3, 810810, 3, 27027, 4, 27027
91156464676, 1681, 16.7347, 17.7285, 378658, 3, 27047, 4, 838457, 3, 27047
91163399266, 1682, 15.1034, 17.7285, 108256, 3, 811920, 3, 27064, 4, 27064
91291737016, 1683, 17.7065, 17.7294, 798329, 3, 27062, 4, 1014825, 3, 13531
91572572463, 1684, 15.397, 17.7315, 135625, 3, 813750, 3, 27125, 4, 27125
91666425147, 1685, 16.8418, 17.7321, 411073, 3, 814164, 3, 27937, 4, 3991
91962202024, 1686, 17.3859, 17.7342, 624151, 3, 27137, 4, 922658, 3, 27137
92164300636, 1687, 17.6314, 17.7357, 753600, 3, 816400, 3, 31400, 4, 31400
92184784267, 1688, 15.6389, 17.7358, 163296, 3, 816480, 3, 27216, 4, 27216
92512831573, 1689, 15.2042, 17.7382, 342, 6, 342, 7, 818748, 3, 342
92670299577, 1690, 16.2857, 17.7393, 268272, 3, 27216, 4, 828144, 3, 3888
92733455472, 1691, 17.4729, 17.7398, 667282, 3, 818937, 3, 30331, 4, 30331
92978414740, 1692, 17.4999, 17.7415, 681250, 3, 27250, 4, 953750, 3, 27250
92999426281, 1693, 17.0817, 17.7416, 18639, 4, 820116, 3, 876033, 3, 18639
93037297000, 1694, 15.8458, 17.7419, 191401, 3, 820290, 3, 27343, 4, 27343
93809520620, 1695, 14.969, 17.7473, 97650, 3, 27342, 4, 824166, 3, 3906
94182733237, 1696, 16.0278, 17.7499, 220096, 3, 825360, 3, 27512, 4, 27512
94341617875, 1697, 16.9762, 17.751, 455760, 3, 826065, 3, 28485, 4, 28485
94666635356, 1698, 17.7533, 17.7533, 27436, 4, 27436, 4, 1042568, 3, 27436
94673481504, 1699, 16.8408, 17.7533, 16226, 4, 827526, 3, 859978, 3, 16226
94860411282, 1700, 15.2194, 17.7546, 344, 6, 828352, 3, 344, 7, 344
95374420962, 1701, 17.6917, 17.7582, 789308, 3, 830609, 3, 32123, 4, 4589
95544070095, 1702, 16.8905, 17.7594, 426746, 3, 27532, 4, 867258, 3, 13766
95643490248, 1703, 17.6301, 17.76, 752842, 3, 27543, 4, 1000729, 3, 9181
95661249294, 1704, 16.1915, 17.7602, 249561, 3, 831870, 3, 27729, 4, 27729
95753178699, 1705, 17.7608, 17.7608, 2, 59, 2, 59, 2, 60, 2
95849595276, 1706, 15.7963, 17.7614, 1443, 5, 832685, 3, 835682, 3, 37
96112877274, 1707, 16.6643, 17.7633, 358722, 3, 27594, 4, 855414, 3, 27594
96611966666, 1708, 17.4656, 17.7667, 663552, 3, 27648, 4, 24, 13, 24
96747657235, 1709, 16.4384, 17.7676, 12871, 4, 836615, 3, 849486, 3, 12871
97218625081, 1710, 17.3324, 17.7708, 599040, 3, 838656, 3, 29952, 4, 29952
97447928519, 1711, 17.5705, 17.7723, 24696, 4, 839664, 3, 987840, 3, 24696
97480196027, 1712, 17.4715, 17.7725, 23328, 4, 839808, 3, 3888, 5, 3888
97526814026, 1713, 16.3415, 17.7728, 280000, 3, 840000, 3, 28000, 4, 28000
98537209222, 1714, 17.0261, 17.7796, 473535, 3, 27855, 4, 891360, 3, 27855
98695893077, 1715, 17.7669, 17.7807, 836160, 3, 27872, 4, 1059136, 3, 27872
98706266074, 1716, 14.9042, 17.7807, 92910, 3, 27873, 4, 845481, 3, 9291
99226968797, 1717, 17.304, 17.7842, 21184, 4, 847360, 3, 932096, 3, 21184
99306572142, 1718, 17.2416, 17.7847, 558740, 3, 27937, 4, 921921, 3, 27937
99755843206, 1719, 17.6963, 17.7877, 26551, 4, 849632, 3, 1035489, 3, 26551
99784863314, 1720, 17.092, 17.7879, 498134, 3, 849758, 3, 29302, 4, 29302
99828174624, 1721, 16.481, 17.7881, 311641, 3, 849930, 3, 28331, 4, 28331
100337049252, 1722, 15.6057, 17.7915, 159188, 3, 852124, 3, 28092, 4, 9364
100497176792, 1723, 16.5819, 17.7925, 336756, 3, 28063, 4, 869953, 3, 28063
100580930707, 1724, 16.9759, 17.7931, 455665, 3, 853160, 3, 29085, 4, 9695
100828755299, 1725, 15.7848, 17.7947, 182637, 3, 28098, 4, 856989, 3, 14049
101025318345, 1726, 17.6729, 17.796, 777959, 3, 28119, 4, 1031030, 3, 9373
